start	end	text
2854877	2868368	Yeah, I mean, I guess my stream knows this, but whenever I get like tech issues and stuff, I can't stand it when 500 different people are trying to give you
2869809	2875734	Different advice on how to fix something tech related and I have no clue what I'm doing.
2876355	2882020	And you know, it's taking away from the game on what to play, you know, like the fucking this hassle.
2882680	2884742	I just, nope, shut down.
2885182	2887645	I'll do this tomorrow with a new mindset.
2887725	2888946	I'm done with this right now.
2889987	2892871	I'll do this, you know, off stream or tomorrow.
2893332	2900441	So I kind of like just push it forward and prevent myself from, you know, becoming too stressed about anything.
2900842	2901703	And you like to change that?
2903234	2904255	I don't like to change that.
2905675	2906556	I think it's a good method.
2907836	2909417	You push it a little bit.
2909657	2912558	People push things too far into the future.
2912718	2925944	But just, you know, if you're overwhelmed by something, just leave it until after you fucking slept or after you ate or after you went for a walk or something, you know, don't do it in the moment.
2926705	2927625	But don't push it too far.
2928825	2932047	In what situations do you doubt yourself the most?
2933271	2935553	In what situations do I doubt myself the most?
2936153	2937274	Apart from the technical stuff.
2939476	2944620	When I'm not pretending and I'm actually bad at a game, then I'm doubting myself.
2945921	2950225	And in this case, what do you do when you need to boost your confidence?
2950245	2951846	I play a game I'm better at.
2952326	2956349	Alright, so maintaining control.
2956530	2956910	Perfect.
2957710	2960753	In what situations do you feel that you have the most control?
2963880	2964180	Always.
2965821	2967082	I always feel like I'm in control.
2968823	2971244	On a more serious note, right?
2972385	2976027	Whenever I play a game, I'm good at... I'm in control.
2976407	2977407	Alright, so playing games.
2977727	2978468	Yeah, playing games.
2980532	2988082	So if you were to give a TED talk on anything but your primary focus, which is streaming and games, what would it be?
2989304	2994831	I would have to look up a lot of terms and whatnot, but the general philosophy
2995752	3005776	I think I never read any philosophy, but everything I have ever thought of, there is a philosopher who thought of it before, right?
3006376	3007796	So they have terms for it.
3007837	3016220	But in general, I think philosophy is a fairly interesting topic.
3016560	3016860	All right.
3017400	3025423	So knowing what you know now, what advice would you give to a five years or ten years younger version of yourself?
3027634	3028594	Invest in Amazon?
3031095	3031676	Good answer.
3032616	3033236	Good answer.
3033356	3033717	All right.
3034337	3042620	So how would you spend your life if you had $100 million in your bank account right now?
3043821	3045681	Meaning you don't have to care about money.
3048222	3048843	The same way.
3049423	3052104	I barely spend any money.
3053962	3060411	I live very humble, I have routines that don't cost anything, you know, walks are free.
3064016	3065958	I would pretty much spend it the same way, honestly.
3067220	3067861	Maybe I would.
3069262	3075904	Maybe I would start some game company on the side, fully run by people while I'm still streaming.
3078545	3081046	Make some games maybe that I can play on stream.
3082467	3083307	Any games, really.
3084848	3086228	I would pretty much live the same way, I think.
3087419	3092963	If Hollywood made a movie about you, what would the title of that movie be?
3093644	3096706	I thought my chat could come up with more stuff than me about this one.
3097027	3097587	We'll ask them.
3099168	3099869	The God game.
3100389	3100749	All right.
3101470	3105413	You don't take too many sponsorships.
3106594	3110577	Still, you decided to give our partnership a try.
3111538	3116922	Can you say why you decided to work with us or what was different?
3118159	3127584	Well, I mean, Elky, a mutual friend of ours, introduced us first and told me about it.
3129686	3135989	And before I decided to hop on the train, I tried out your product for a month off stream.
3138230	3150173	And to me, it was a very good substitute for coffee because I like to take it a little bit into the stream and I don't like hassling with coffee during that.
3150353	3152694	It's just more convenient and I'm really lazy.
3152774	3155495	So it's just better for me.
3157335	3166938	And, you know, on top of that, adding the nutrients and stuff and vitamins and stuff on top of the caffeine is an extra added bonus for me.
3169096	3171337	It worked for me and I've been using it now for a year.
3172177	3185901	And how do you feel, what do you think about the brand MadMonq and this goal of actually pushing gamers for healthier lives, both physically and mentally?
3186241	3187341	Does it resonate?
3187861	3190782	Maybe I will rephrase the question and I'll just keep it simple.
3192383	3196604	So what do you think about our brand and what are we trying to do in the gaming world?
3197375	3202218	Well, you're trying to increase and help out with people's health.
3203639	3206381	Gamers aren't the healthiest of people, as we all know.
3206901	3213185	And I come to realize this during my years of gaming that we're all so lazy, right?
3214346	3215707	That's part of it.
3216408	3224313	And whatever little thing we can do that doesn't take too much of our energy and time,
3226235	3226875	We gladly do.
3227396	3239327	So I think it's very good focusing on the health aspect of gaming because I don't think people should play as much as they do or they should be in front of the computer as much as they do, but they do.
3239487	3247415	So whatever can help with your intake of whatever your body needs or whatever your mind needs, it's good.
3249198	3257259	And looking into the future, how do you feel the health of gamers, both physical and mental, is going to develop?
3258763	3267485	Honestly, I think it's pretty downhill from here for most gamers because, you know, everything is becoming more convenient.
3267525	3273366	You can order food, you can order your groceries, soon you won't be able to, you know, you don't have to leave your house.
3274486	3284888	So, it's important that people realize this themselves and, you know, take some actions and go for walks and take supplements if you need it, you know, if you don't eat properly, you know.
3286869	3293155	Do whatever fits your schedule, whatever helps you boost your health.
3293415	3300642	Because I don't think people should necessarily stop gaming, just compensate with other stuff along with it.
3301102	3305567	So what is too much gaming?
3306367	3308810	How would you define it for yourself right now?
3309366	3317972	Too much gaming, I don't think it's a fixed number of hours or anything like that.
3319673	3324296	I think it's when you start feeling bad and you are not enjoying gaming as much.
3324856	3325817	That's when it's too much.
3327198	3328199	You should refresh.
3331308	3338593	You know, go outside sounds cliche, but, you know, it works unless you live in dark Sweden, you know.
3339113	3340334	OK, maybe not that part.
3340374	3342876	But but yeah.
3350588	3363932	Apart from going on walks, having a fixed streaming schedule and taking MadMonq and Champion, what are other ways that you think about your health?
3368382	3369562	I barely eat any sugar.
3371903	3377065	And if I do, it's, you know, from fruit juice.
3377125	3378025	Yeah, exactly.
3378765	3379946	But not that much anymore.
3380666	3384667	I try to really, really limit my sugar intake.
3384687	3387328	So no chips, no candies, no sodas.
3390387	3393051	And you get used to it, you know, and you feel better.
3394513	3395695	Sleep is very important too.
3398359	3398960	How long do you sleep?
3400222	3405129	Not enough, but that's because of, you know, dogs.
3405390	3406131	Interviews like this.
3408759	3414265	It's hard to get proper sleep in a capital, I think.
3415466	3418449	I think you need to move outside of a capital to get really good sleep.
3419630	3427938	If you don't sleep well, what do you observe on yourself when you don't sleep well?
3431311	3436816	Well, focus, my focusing times become shorter and shorter.
3440459	3440919	Eyes hurt.
3444302	3446604	Yeah, the usual stuff, you know, concentration.
3448685	3448925	Yeah.
3449566	3450427	Thanks a lot, Sebastian.
3451147	3451448	Thank you.
3451468	3453389	It was a pleasure talking.
3454270	3455291	Let's do this again.
3455751	3456171	Absolutely.
3456552	3456752	Thanks.
